AAPL,dt_date,Mkt-RF,SMB,HML,RF,Mom,_merge,AAPL_FF_merge_indicator,AAPL_RF
-0.04054013882628282,1988-07,-1.25,-0.23,2.18,0.51,0.66,both,both,-4.564013882628283
-0.09971283327571945,1988-08,-3.31,0.07,2.14,0.59,0.36,both,both,-10.561283327571944
0.08463990180404335,1988-09,3.31,-1.34,-0.75,0.62,0.29,both,both,7.843990180404334
-0.10693779142853754,1988-10,1.16,-2.92,2.03,0.61,1.3,both,both,-11.303779142853754
-0.023317256986775448,1988-11,-2.27,-1.64,1.47,0.57,0.18,both,both,-2.9017256986775446
0.06976556637443498,1988-12,1.48,1.89,-1.83,0.63,0.31,both,both,6.3465566374434985
-0.06211057651437346,1989-01,6.07,-2.19,0.61,0.55,-0.25,both,both,-6.761057651437346
-0.037087848660562694,1989-02,-2.23,2.81,0.99,0.61,0.99,both,both,-4.318784866056269
-0.017243880083777863,1989-03,1.57,0.67,0.47,0.67,3.51,both,both,-2.394388008377786
0.09473740266146113,1989-04,4.35,-0.67,-1.48,0.67,1.71,both,both,8.803740266146113
0.2270416613931887,1989-05,3.28,-0.09,-0.9,0.79,1.42,both,both,21.914166139318873
-0.13612387470816634,1989-06,-1.33,-0.97,2.21,0.71,0.4,both,both,-14.322387470816633
-0.03636410829308401,1989-07,7.18,-4.11,-2.8,0.7,5.32,both,both,-4.3364108293084005
0.12215158628111245,1989-08,1.43,0.57,0.62,0.74,-0.49,both,both,11.475158628111243
0.0,1989-09,-0.76,0.3,-1.27,0.65,3.51,both,both,-0.65
0.044946050126493775,1989-10,-3.65,-3.24,-1.16,0.68,1.35,both,both,3.8146050126493773
-0.04604451795189857,1989-11,1.04,-1.19,-1.13,0.69,2.7,both,both,-5.294451795189856
-0.20338969745724766,1989-12,1.18,-2.37,0.15,0.61,2.79,both,both,-20.948969745724767
-0.03546169093550566,1990-01,-7.8,-1.14,0.83,0.57,-2.98,both,both,-4.116169093550567
0.0032211055717334958,1990-02,1.12,0.97,0.65,0.57,-0.51,both,both,-0.24788944282665037
0.18382596464255485,1990-03,1.83,1.47,-2.9,0.64,1.72,both,both,17.742596464255485
-0.0217379624872982,1990-04,-3.36,-0.47,-2.57,0.69,2.28,both,both,-2.86379624872982
0.050525759042498786,1990-05,8.43,-2.56,-3.89,0.68,3.14,both,both,4.372575904249879
0.08484827507653492,1990-06,-1.09,1.35,-2.0,0.63,2.49,both,both,7.854827507653492
-0.06145389547191393,1990-07,-1.9,-3.08,-0.06,0.68,6.04,both,both,-6.825389547191393
-0.11638545840725678,1990-08,-10.12,-3.5,1.56,0.66,1.97,both,both,-12.298545840725678
-0.21621420298905147,1990-09,-6.11,-3.64,0.59,0.6,5.71,both,both,-22.221420298905148
0.06034459090162625,1990-10,-1.92,-5.52,0.08,0.68,6.74,both,both,5.354459090162625
0.1991152727808192,1990-11,6.35,0.42,-2.97,0.57,-5.36,both,both,19.34152727808192
0.17006898416182303,1990-12,2.46,0.79,-1.57,0.6,0.25,both,both,16.4068984161823
0.29069750593391697,1991-01,4.69,3.78,-1.48,0.52,-6.47,both,both,28.549750593391696
0.03370216596694808,1991-02,7.19,4.01,-0.62,0.48,-4.94,both,both,2.8902165966948083
0.18777189556128482,1991-03,2.66,3.88,-1.3,0.44,2.71,both,both,18.337189556128482
-0.19117702569501138,1991-04,-0.28,0.5,1.49,0.53,-2.32,both,both,-19.64770256950114
-0.14326672470676582,1991-05,3.66,-0.39,-0.52,0.47,-0.09,both,both,-14.796672470676583
-0.11702130694634194,1991-06,-4.94,0.18,1.08,0.42,0.42,both,both,-12.122130694634194
0.11445632284901852,1991-07,4.24,-0.97,-1.3,0.49,4.26,both,both,10.955632284901851
0.1485334228468842,1991-08,2.32,1.58,-0.79,0.46,1.58,both,both,14.39334228468842
-0.06603786757023411,1991-09,-1.59,1.68,-1.23,0.46,1.75,both,both,-7.0637867570234105
0.040403523397110286,1991-10,1.29,0.77,-0.43,0.42,3.18,both,both,3.6203523397110287
-0.012192001413207754,1991-11,-4.2,-0.51,-1.77,0.39,1.18,both,both,-1.6092001413207755
0.1108369287240667,1991-12,10.85,-2.26,-4.23,0.38,8.29,both,both,10.703692872406668
0.14855866284182362,1992-01,-0.59,8.48,4.67,0.34,-2.5,both,both,14.515866284182362
0.04442242626612081,1992-02,1.08,0.83,6.51,0.28,-0.7,both,both,4.16224262661208
-0.1370382252970609,1992-03,-2.65,-0.97,3.49,0.34,-0.21,both,both,-14.04382252970609
0.0321887425877565,1992-04,1.09,-6.12,4.36,0.32,-2.55,both,both,2.8988742587756504
-0.00623675231067955,1992-05,0.3,0.41,1.11,0.28,0.06,both,both,-0.903675231067955
-0.19503749093017553,1992-06,-2.33,-3.1,3.24,0.32,-0.57,both,both,-19.823749093017554
-0.02603993420036177,1992-07,3.78,-0.45,-0.51,0.31,1.47,both,both,-2.913993420036177
-0.013399352974105327,1992-08,-2.38,-0.1,-1.09,0.26,-0.47,both,both,-1.5999352974105328
-0.019020173066415236,1992-09,1.19,0.55,-0.19,0.26,1.44,both,both,-2.1620173066415234
0.16343404179008103,1992-10,1.02,2.11,-1.98,0.23,2.5,both,both,16.113404179008104
0.09756838680276814,1992-11,4.14,3.68,-1.52,0.23,-0.25,both,both,9.526838680276814
0.03912967818112012,1992-12,1.53,1.65,2.64,0.28,4.33,both,both,3.6329678181120117
-0.00418414558700797,1993-01,0.93,1.89,5.9,0.23,4.85,both,both,-0.648414558700797
-0.10730162506959562,1993-02,0.12,-3.39,6.48,0.22,3.18,both,both,-10.950162506959563
-0.02830204101204903,1993-03,2.32,0.29,1.26,0.25,3.7,both,both,-3.080204101204903
-0.00485371520667599,1993-04,-3.05,-0.62,2.55,0.24,0.36,both,both,-0.725371520667599
0.10718727137366435,1993-05,2.89,2.06,-3.46,0.22,0.21,both,both,10.498727137366435
-0.3024272079728372,1993-06,0.3,-0.3,2.64,0.25,4.57,both,both,-30.492720797283717
-0.2974686644849014,1993-07,-0.34,0.96,2.87,0.24,3.22,both,both,-29.986866448490137
-0.04084326538412009,1993-08,3.72,0.11,0.18,0.25,2.54,both,both,-4.334326538412009
-0.11792544691340534,1993-09,-0.12,3.09,-0.24,0.26,3.39,both,both,-12.052544691340534
0.3155129085650288,1993-10,1.42,1.99,-2.78,0.22,-2.67,both,both,31.33129085650288
0.02806945513186876,1993-11,-1.87,-1.27,-0.78,0.25,-4.77,both,both,2.556945513186876
-0.07142744613096141,1993-12,1.65,1.19,0.25,0.23,2.33,both,both,-7.372744613096142
0.1196580910144478,1994-01,2.87,0.33,1.1,0.25,0.11,both,both,11.71580910144478
0.1185080272349619,1994-02,-2.55,2.76,-1.52,0.21,-0.34,both,both,11.64080272349619
-0.08904152509291097,1994-03,-4.79,-1.08,1.67,0.27,-1.32,both,both,-9.174152509291096
-0.09774475571017349,1994-04,0.68,-0.93,1.66,0.27,0.33,both,both,-10.04447557101735
-0.02114859795042645,1994-05,0.58,-2.09,0.6,0.32,-2.05,both,both,-2.434859795042645
-0.09401880744800162,1994-06,-3.04,-0.43,1.77,0.31,-0.9,both,both,-9.711880744800162
0.27122552269159694,1994-07,2.82,-1.81,0.61,0.28,0.11,both,both,26.842552269159693
0.07793465059326987,1994-08,4.02,1.5,-2.55,0.37,1.54,both,both,7.423465059326987
-0.06908651209853878,1994-09,-2.28,3.04,-1.81,0.37,1.32,both,both,-7.278651209853877
0.2820064290142321,1994-10,1.35,-2.16,-1.66,0.38,1.31,both,both,27.820642901423213
-0.13488913845528128,1994-11,-4.03,0.28,-0.73,0.37,-0.12,both,both,-13.858913845528127
